,E,rec,sr
2669,114400, 0.826 , 0.235 
2670,114500, 0.883 , 0.439 
2671,114600, 0.644 , 0.403 
2672,114700, 0.738 , 0.374 
2673,114800, 0.618 , 0.388 
2674,114900, 0.598 , 0.369 
2675,115000, 0.832 , 0.353 
2690,115100, 0.795 , 0.343 
2691,115200, 0.690 , 0.156 
2692,115300, 0.639 , 0.361 
2693,115400, 0.656 , 0.336 
2694,115500, 0.654 , 0.446 
2695,115600, 0.676 , 0.312 
2696,115700, 0.657 , 0.269 
2697,115800, 0.754 , 0.332 
2698,115900, 0.804 , 0.215 
2699,116000, 0.940 , 0.317 
2714,116100, 0.632 , 0.259 
2715,116200, 0.630 , 0.219 
2716,116300, 0.816 , 0.292 
2717,116400, 0.840 , 0.311 
2718,116500, 0.868 , 0.273 
2719,116600, 0.635 , 0.263 
2720,116700, 0.850 , 0.343 
2721,116800, 0.922 , 0.408 
2722,116900, 0.624 , 0.403 
2723,117000, 0.602 , 0.365 
2738,117100, 0.710 , 0.347 
2739,117200, 0.821 , 0.355 
2740,117300, 0.826 , 0.337 
2741,117400, 0.757 , 0.274 
2742,117500, 0.877 , 0.389 
2743,117600, 0.641 , 0.282 
2744,117700, 0.647 , 0.224 
2745,117800, 0.655 , 0.314 
2746,117900, 0.656 , 0.367 
2747,118000, 0.817 , 0.305 
2762,118100, 0.702 , 0.360 
2763,118200, 0.852 , 0.408 
2764,118300, 0.481 , 0.268 
2765,118400, 0.540 , 0.322 
2766,118500, 0.753 , 0.385 
2767,118600, 0.667 , 0.298 
2768,118700, 0.878 , 0.419 
2769,118800, 0.557 , 0.404 
2770,118900, 0.826 , 0.374 
2771,119000, 0.677 , 0.414 
2786,119100, 0.753 , 0.361 
2787,119200, 0.853 , 0.383 
2788,119300, 0.550 , 0.403 
2789,119400, 0.595 , 0.375 
2790,119500, 0.773 , 0.354 
2791,119600, 0.683 , 0.225 
2792,119700, 0.892 , 0.176 
2793,119800, 0.858 , 0.578 
2794,119900, 0.679 , 0.392 
2795,120000, 0.886 , 0.268 
2810,120100, 0.716 , 0.283 
2811,120200, 0.914 , 0.296 
2812,120300, 0.616 , 0.245 
2813,120400, 0.665 , 0.275 
2814,120500, 0.745 , 0.303 
2815,120600, 0.760 , 0.176 
2816,120700, 0.659 , 0.209 
2817,120800, 0.881 , 0.309 
2818,120900, 0.672 , 0.293 
2819,121000, 0.627 , 0.316 
2834,121100, 0.595 , 0.324 
2835,121200, 0.605 , 0.288 
2836,121300, 0.756 , 0.389 
2837,121400, 0.844 , 0.329 
2838,121500, 0.818 , 0.331 
2839,121600, 0.853 , 0.363 
2840,121700, 0.654 , 0.267 
2841,121800, 0.560 , 0.292 
2842,121900, 0.732 , 0.254 
2843,122000, 0.892 , 0.287 
2858,122100, 0.602 , 0.297 
2859,122200, 0.640 , 0.279 
2860,122300, 0.925 , 0.564 
2861,122400, 0.773 , 0.378 
2862,122500, 0.564 , 0.344 
2863,122600, 0.775 , 0.182 
2864,122700, 0.844 , 0.242 
2865,122800, 0.603 , 0.178 
2866,122900, 0.677 , 0.217 
2867,123000, 0.548 , 0.306 
2882,123100, 0.648 , 0.221 
2883,123200, 0.748 , 0.151 
2884,123300, 0.629 , 0.350 
2885,123400, 0.596 , 0.336 
2886,123500, 0.819 , 0.350 
2887,123600, 0.619 , 0.440 
2888,123700, 0.775 , 0.304 
2889,123800, 0.527 , 0.337 
2890,123900, 0.650 , 0.244 
2891,124000, 0.610 , 0.360 
2906,124100, 0.673 , 0.274 
2907,124200, 0.671 , 0.263 
2908,124300, 0.668 , 0.253 
2909,124400, 0.641 , 0.286 
2910,124500, 0.675 , 0.276 
2911,124600, 0.674 , 0.370 
2912,124700, 0.742 , 0.338 
2913,124800, 0.828 , 0.340 
2914,124900, 0.593 , 0.331 
2915,125000, 0.847 , 0.318 
2930,125100, 0.767 , 0.323 
2931,125200, 0.765 , 0.285 
2932,125300, 0.724 , 0.212 
2933,125400, 0.852 , 0.236 
2934,125500, 0.561 , 0.204 
2935,125600, 0.471 , 0.358 
2936,125700, 0.809 , 0.422 
2937,125800, 0.725 , 0.295 
2938,125900, 0.692 , 0.232 
2939,126000, 0.641 , 0.288 
2954,126100, 0.557 , 0.286 
2955,126200, 0.785 , 0.334 
2956,126300, 0.700 , 0.305 
2957,126400, 0.763 , 0.323 
2958,126500, 0.685 , 0.291 
2959,126600, 0.779 , 0.223 
2960,126700, 0.792 , 0.306 
2961,126800, 0.713 , 0.345 
2962,126900, 0.625 , 0.407 
2963,127000, 0.842 , 0.373 
2978,127100, 0.642 , 0.348 
2979,127200, 0.969 , 0.402 
2980,127300, 0.604 , 0.363 
2981,127400, 0.539 , 0.352 
2982,127500, 0.826 , 0.357 
2983,127600, 0.583 , 0.279 
2984,127700, 0.484 , 0.303 
2985,127800, 0.786 , 0.215 
2986,127900, 0.716 , 0.247 
2987,128000, 0.752 , 0.236 
3002,128100, 0.798 , 0.235 
3003,128200, 0.857 , 0.266 
3004,128300, 0.826 , 0.292 
3005,128400, 0.975 , 0.537 
3006,128500, 0.839 , 0.167 
3007,128600, 0.755 , 0.395 
3008,128700, 0.632 , 0.349 
3009,128800, 0.784 , 0.307 
3010,128900, 0.748 , 0.215 
3011,129000, 0.784 , 0.163 
3026,129100, 0.912 , 0.331 
3027,129200, 0.785 , 0.298 
3028,129300, 0.911 , 0.352 
3029,129400, 0.580 , 0.306 
3030,129500, 0.655 , 0.296 
3031,129600, 0.684 , 0.312 
3032,129700, 0.767 , 0.349 
3033,129800, 0.711 , 0.318 
3034,129900, 0.812 , 0.356 
3035,130000, 0.716 , 0.250 
3050,130100, 0.684 , 0.356 
3051,130200, 0.668 , 0.284 
3052,130300, 0.775 , 0.277 
3053,130400, 0.663 , 0.265 
3054,130500, 0.579 , 0.269 
3055,130600, 0.849 , 0.128 
3056,130700, 0.596 , 0.316 
3057,130800, 0.721 , 0.298 
3058,130900, 0.554 , 0.197 
3059,131000, 0.806 , 0.231 
3074,131100, 0.728 , 0.219 
3075,131200, 0.738 , 0.226 
3076,131300, 0.524 , 0.209 
3077,131400, 0.684 , 0.258 
3078,131500, 0.485 , 0.324 
3079,131600, 0.560 , 0.319 
3080,131700, 0.602 , 0.118 
3081,131800, 0.873 , 0.346 
3082,131900, 0.686 , 0.149 
3083,132000, 0.708 , 0.175 
3098,132100, 0.814 , 0.316 
3099,132200, 0.546 , 0.256 
3100,132300, 0.857 , 0.270 
3101,132400, 0.731 , 0.244 
3102,132500, 0.939 , 0.271 
3103,132600, 0.781 , 0.267 
3104,132700, 0.626 , 0.219 
3105,132800, 0.658 , 0.313 
3106,132900, 0.593 , 0.330 
3107,133000, 0.601 , 0.300 
3122,133100, 0.677 , 0.347 
3123,133200, 0.665 , 0.226 
3124,133300, 0.631 , 0.367 
3125,133400, 0.710 , 0.370 
3126,133500, 0.762 , 0.359 
3127,133600, 0.613 , 0.344 
3128,133700, 0.822 , 0.320 
3129,133800, 0.996 , 0.276 
3130,133900, 0.765 , 0.355 
3131,134000, 0.516 , 0.298 
3146,134100, 0.724 , 0.309 
3147,134200, 0.797 , 0.143 
3148,134300, 0.763 , 0.150 
3149,134400, 0.541 , 0.232 
3150,134500, 0.790 , 0.388 
3151,134600, 0.664 , 0.244 
3152,134700, 0.531 , 0.384 
3153,134800, 0.788 , 0.439 
3154,134900, 0.803 , 0.253 
3155,135000, 0.598 , 0.345 
3170,135100, 0.591 , 0.398 
3171,135200, 0.598 , 0.212 
3172,135300, 0.540 , 0.307 
3173,135400, 0.677 , 0.298 
3174,135500, 0.635 , 0.406 
3175,135600, 0.573 , 0.401 
3176,135700, 0.633 , 0.373 
3177,135800, 0.671 , 0.341 
3178,135900, 0.546 , 0.229 
3179,136000, 0.763 , 0.282 
3194,136100, 0.563 , 0.250 
3195,136200, 0.439 , 0.495 
3196,136300, 0.578 , 0.306 
3197,136400, 0.702 , 0.375 
3198,136500, 0.724 , 0.311 
3199,136600, 0.738 , 0.303 
3200,136700, 0.827 , 0.327 
3201,136800, 0.795 , 0.324 
3202,136900, 0.471 , 0.256 
3203,137000, 0.543 , 0.440 
3218,137100, 0.729 , 0.454 
3219,137200, 0.765 , 0.162 
3220,137300, 0.615 , 0.236 
3221,137400, 0.677 , 0.253 
3222,137500, 0.734 , 0.173 
3223,137600, 0.761 , 0.355 
3224,137700, 0.800 , 0.506 
3225,137800, 0.700 , 0.163 
3226,137900, 0.667 , 0.337 
3227,138000, 0.608 , 0.326 
3242,138100, 0.778 , 0.273 
3243,138200, 0.775 , 0.266 
3244,138300, 0.590 , 0.260 
3245,138400, 0.844 , 0.268 
3246,138500, 0.630 , 0.295 
3247,138600, 0.755 , 0.304 
3248,138700, 0.680 , 0.342 
3249,138800, 0.608 , 0.339 
3250,138900, 0.499 , 0.320 
3251,139000, 0.643 , 0.279 
3266,139100, 0.710 , 0.251 
3267,139200, 0.906 , 0.260 
3268,139300, 0.659 , 0.331 
3269,139400, 0.765 , 0.329 
3270,139500, 0.664 , 0.301 
3271,139600, 0.511 , 0.286 
3272,139700, 0.618 , 0.272 
3273,139800, 0.736 , 0.282 
3274,139900, 0.612 , 0.259 
3275,140000, 0.875 , 0.267 
3290,140100, 0.826 , 0.288 
3291,140200, 0.571 , 0.205 
3292,140300, 0.609 , 0.432 
3293,140400, 0.723 , 0.350 
3294,140500, 0.732 , 0.342 
3295,140600, 0.825 , 0.397 
3296,140700, 0.847 , 0.343 
3297,140800, 0.653 , 0.371 
3298,140900, 0.674 , 0.345 
3299,141000, 0.780 , 0.334 
3314,141100, 0.763 , 0.324 
3315,141200, 0.647 , 0.218 
3316,141300, 0.643 , 0.241 
3317,141400, 0.474 , 0.171 
3318,141500, 0.655 , 0.289 
3319,141600, 0.698 , 0.307 
3320,141700, 0.522 , 0.274 
3321,141800, 0.661 , 0.253 
3322,141900, 0.781 , 0.265 
3323,142000, 0.697 , 0.245 
3338,142100, 0.561 , 0.143 
3339,142200, 0.660 , 0.329 
3340,142300, 0.661 , 0.294 
3341,142400, 0.615 , 0.248 
3342,142500, 0.682 , 0.263 
3343,142600, 1.030 , 0.244 
3344,142700, 0.599 , 0.267 
3345,142800, 0.714 , 0.156 
3346,142900, 0.646 , 0.385 
3347,143000, 0.621 , 0.342 
3362,143100, 0.720 , 0.364 
3363,143200, 0.751 , 0.357 
3364,143300, 0.725 , 0.342 
3365,143400, 0.618 , 0.145 
3366,143500, 0.814 , 0.325 
3367,143600, 0.849 , 0.269 
3368,143700, 0.710 , 0.183 
3369,143800, 0.677 , 0.411 
3370,143900, 0.723 , 0.248 
3371,144000, 0.561 , 0.221 
3386,144100, 0.711 , 0.239 
3387,144200, 0.642 , 0.230 
3388,144300, 0.754 , 0.243 
3389,144400, 0.687 , 0.401 
3390,144500, 0.683 , 0.315 
3391,144600, 0.755 , 0.316 
3392,144700, 0.697 , 0.345 
3393,144800, 0.745 , 0.331 
3394,144900, 0.777 , 0.297 
3395,145000, 0.625 , 0.300 
3410,145100, 0.623 , 0.220 
3411,145200, 0.580 , 0.135 
3412,145300, 0.744 , 0.161 
3413,145400, 0.743 , 0.228 
3414,145500, 0.622 , 0.264 
3415,145600, 0.659 , 0.237 
3416,145700, 0.762 , 0.353 
3417,145800, 0.727 , 0.341 
3418,145900, 0.752 , 0.362 
3419,146000, 0.438 , 0.341 
3434,146100, 0.540 , 0.320 
3435,146200, 0.665 , 0.190 
3436,146300, 0.792 , 0.304 
3437,146400, 0.863 , 0.302 
3438,146500, 0.716 , 0.321 
3439,146600, 0.657 , 0.325 
3440,146700, 0.596 , 0.292 
3441,146800, 0.557 , 0.152 
3442,146900, 0.677 , 0.265 
3443,147000, 0.640 , 0.211 
3458,147100, 0.660 , 0.237 
3459,147200, 0.556 , 0.210 
3460,147300, 0.579 , 0.211 
3461,147400, 0.726 , 0.227 
3462,147500, 0.677 , 0.110 
3463,147600, 0.679 , 0.212 
3464,147700, 0.613 , 0.292 
3465,147800, 0.763 , 0.226 
3466,147900, 0.699 , 0.263 
3467,148000, 0.756 , 0.113 
3482,148100, 0.793 , 0.295 
3483,148200, 0.873 , 0.301 
3484,148300, 0.745 , 0.361 
3485,148400, 0.670 , 0.158 
3486,148500, 0.795 , 0.140 
3487,148600, 0.576 , 0.308 
3488,148700, 0.985 , 0.296 
3489,148800, 0.905 , 0.238 
3490,148900, 0.729 , 0.259 
3491,149000, 0.709 , 0.256 
3506,149100, 0.692 , 0.253 
3507,149200, 0.668 , 0.310 
3508,149300, 0.649 , 0.153 
3509,149400, 0.740 , 0.275 
3510,149500, 0.806 , 0.115 
3511,149600, 0.554 , 0.243 
3512,149700, 0.733 , 0.250 
3513,149800, 0.627 , 0.231 
3514,149900, 0.809 , 0.208 
3515,150000, 0.731 , 0.117 
3530,150100, 0.725 , 0.316 
3531,150200, 0.638 , 0.433 
3532,150300, 0.687 , 0.290 
3533,150400, 0.671 , 0.246 
3534,150500, 0.550 , 0.202 
3535,150600, 0.793 , 0.242 
3536,150700, 0.736 , 0.327 
3537,150800, 0.667 , 0.249 
3538,150900, 0.761 , 0.224 
3539,151000, 0.693 , 0.265 
3554,151100, 0.676 , 0.222 
3555,151200, 0.609 , 0.198 
3556,151300, 0.610 , 0.195 
3557,151400, 0.699 , 0.289 
3558,151500, 0.710 , 0.305 
3559,151600, 0.719 , 0.274 
3560,151700, 0.826 , 0.321 
3561,151800, 0.862 , 0.368 
3562,151900, 0.723 , 0.312 
3563,152000, 0.692 , 0.261 
3578,152100, 0.545 , 0.485 
3579,152200, 0.660 , 0.718 
3580,152300, 0.881 , 0.384 
3581,152400, 0.546 , 0.208 
3582,152500, 0.732 , 0.333 
3583,152600, 0.779 , 0.299 
3584,152700, 0.526 , 0.332 
3585,152800, 0.705 , 0.311 
3586,152900, 0.667 , 0.335 
3587,153000, 0.692 , 0.388 
3602,153100, 0.699 , 0.271 
3603,153200, 0.592 , 0.274 
3604,153300, 0.713 , 0.263 
3605,153400, 0.612 , 0.244 
3606,153500, 0.563 , 0.254 
3607,153600, 0.570 , 0.228 
3608,153700, 0.754 , 0.189 
3609,153800, 0.585 , 0.228 
3610,153900, 0.671 , 0.224 
3611,154000, 0.592 , 0.186 
3626,154100, 0.895 , 0.243 
3627,154200, 0.766 , 0.184 
3628,154300, 0.811 , 0.328 
3629,154400, 0.743 , 0.142 
3630,154500, 0.946 , 0.200 
3631,154600, 0.723 , 0.285 
3632,154700, 0.607 , 0.315 
3633,154800, 0.782 , 0.321 
3634,154900, 0.653 , 0.285 
3635,155000, 0.792 , 0.294 
3650,155100, 0.643 , 0.323 
3651,155200, 0.654 , 0.163 
3652,155300, 0.738 , 0.109 
3653,155400, 0.781 , 0.335 
3654,155500, 0.739 , 0.273 
3655,155600, 0.752 , 0.269 
3656,155700, 0.567 , 0.316 
3657,155800, 0.908 , 0.180 
3658,155900, 0.716 , 0.277 
3659,156000, 0.795 , 0.345 
3674,156100, 0.592 , 0.214 
3675,156200, 0.827 , 0.338 
3676,156300, 0.540 , 0.294 
3677,156400, 0.660 , 0.284 
3678,156500, 0.675 , 0.250 
3679,156600, 0.851 , 0.303 
3680,156700, 0.746 , 0.246 
3681,156800, 0.649 , 0.299 
3682,156900, 0.712 , 0.256 
3683,157000, 0.860 , 0.320 
3698,157100, 0.696 , 0.170 
3699,157200, 0.632 , 0.278 
3700,157300, 0.654 , 0.247 
3701,157400, 0.756 , 0.253 
3702,157500, 0.559 , 0.254 
3703,157600, 0.659 , 0.232 
3704,157700, 0.729 , 0.278 
3705,157800, 0.813 , 0.345 
3706,157900, 0.804 , 0.289 
3707,158000, 0.736 , 0.150 
3722,158100, 0.757 , 0.229 
3723,158200, 0.566 , 0.219 
3724,158300, 0.803 , 0.310 
3725,158400, 0.578 , 0.340 
3726,158500, 0.653 , 0.232 
3727,158600, 0.676 , 0.321 
3728,158700, 0.564 , 0.330 
3729,158800, 0.712 , 0.348 
3730,158900, 0.707 , 0.325 
3731,159000, 0.791 , 0.333 
3746,159100, 0.809 , 0.319 
3747,159200, 0.827 , 0.398 
3748,159300, 0.582 , 0.120 
3749,159400, 0.716 , 0.256 
3750,159500, 0.699 , 0.228 
3751,159600, 0.556 , 0.341 
3752,159700, 0.941 , 0.223 
3753,159800, 0.645 , 0.315 
3754,159900, 0.601 , 0.275 
3755,160000, 0.721 , 0.231 
3770,160100, 0.709 , 0.232 
3771,160200, 0.603 , 0.198 
3772,160300, 0.851 , 0.252 
3773,160400, 0.623 , 0.365 
3774,160500, 0.708 , 0.285 
3775,160600, 0.862 , 0.163 
3776,160700, 0.792 , 0.386 
3777,160800, 0.685 , 0.275 
3778,160900, 0.720 , 0.787 
3779,161000, 0.606 , 0.139 
3794,161100, 0.764 , 0.163 
3795,161200, 0.546 , 0.145 
3796,161300, 0.787 , 0.211 
3797,161400, 0.935 , 0.229 
3798,161500, 0.785 , 0.216 
3799,161600, 0.688 , 0.205 
3800,161700, 0.687 , 0.199 
3801,161800, 0.601 , 0.203 
3802,161900, 0.687 , 0.148 
3803,162000, 0.681 , 0.303 
3818,162100, 0.960 , 0.296 
3819,162200, 0.471 , 0.305 
3820,162300, 0.572 , 0.295 
3821,162400, 0.645 , 0.267 
3822,162500, 0.690 , 0.212 
3823,162600, 0.695 , 0.171 
3824,162700, 0.741 , 0.223 
3825,162800, 0.649 , 0.204 
3826,162900, 0.661 , 0.344 
3827,163000, 0.683 , 0.253 
3842,163100, 0.589 , 0.326 
3843,163200, 0.739 , 0.329 
3844,163300, 0.633 , 0.329 
3845,163400, 0.607 , 0.226 
3846,163500, 0.687 , 0.326 
3847,163600, 0.688 , 0.219 
3848,163700, 0.879 , 0.242 
3849,163800, 0.640 , 0.224 
3850,163900, 0.671 , 0.204 
3851,164000, 0.699 , 0.228 
3866,164100, 0.804 , 0.279 
3867,164200, 0.624 , 0.244 
3868,164300, 0.539 , 0.239 
3869,164400, 0.546 , 0.227 
3870,164500, 0.879 , 0.267 
3871,164600, 0.622 , 0.256 
3872,164700, 0.699 , 0.280 
3873,164800, 0.666 , 0.258 
3874,164900, 0.766 , 0.302 
3875,165000, 0.787 , 0.449 
3890,165100, 0.655 , 0.581 
3891,165200, 0.538 , 0.166 
3892,165300, 0.751 , 0.418 
3893,165400, 0.752 , 0.162 
3894,165500, 0.579 , 0.146 
3895,165600, 0.695 , 0.250 
3896,165700, 0.829 , 0.109 
3897,165800, 0.929 , 0.347 
3898,165900, 0.644 , 0.269 
3899,166000, 0.649 , 0.130 
3914,166100, 0.617 , 0.245 
3915,166200, 0.876 , 0.214 
3916,166300, 0.634 , 0.236 
3917,166400, 0.605 , 0.195 
3918,166500, 0.730 , 0.230 
3919,166600, 0.583 , 0.241 
3920,166700, 0.674 , 0.173 
3921,166800, 0.770 , 0.158 
3922,166900, 0.825 , 0.109 
3923,167000, 0.935 , 0.232 
3938,167100, 0.722 , 0.352 
3939,167200, 0.512 , 0.309 
3940,167300, 0.804 , 0.297 
3941,167400, 0.955 , 0.236 
3942,167500, 0.741 , 0.240 
3943,167600, 0.602 , 0.291 
3944,167700, 0.630 , 0.134 
3945,167800, 0.542 , 0.224 
3946,167900, 0.641 , 0.224 
3947,168000, 0.632 , 0.223 
3962,168100, 0.924 , 0.227 
3963,168200, 0.535 , 0.208 
3964,168300, 0.662 , 0.231 
3965,168400, 0.778 , 0.209 
3966,168500, 0.623 , 0.326 
3967,168600, 0.615 , 0.366 
